feature,importance
stress_depression_diff,0.3152548932384341
stress_anxiety_diff,0.15594617437722452
Age,0.1527166370106761
Semester_Credit_Load,0.14599955516014262
Relationship_Status,0.08895774021352318
Residence_Type,0.08890858540925262
Course,0.08321886120996447
Mental_Severity_Score,0.06913656583629897
Physical_Activity,0.05530204626334511
Extracurricular_Involvement,0.054295151245551634
Diet_Quality,0.0541797153024911
Sleep_Quality,0.03905827402135224
Counseling_Service_Use,0.03533785587188612
Gender,0.025446396797153
CGPA,0.014342971530249085
