feature,importance
stress_depression_diff,0.32306806049822073
stress_anxiety_diff,0.15089279359430596
Semester_Credit_Load,0.14509030249110336
Age,0.13496685943060482
Course,0.10830693950177964
Residence_Type,0.09097864768683282
Relationship_Status,0.08581027580071175
Extracurricular_Involvement,0.05694906583629896
Diet_Quality,0.055653024911032134
Physical_Activity,0.05552402135231315
Sleep_Quality,0.03690346975088963
Counseling_Service_Use,0.03189546263345187
Gender,0.026747775800711707
Mental_Severity_Score,0.022674377224199283
CGPA,0.015768905693950157
