feature,importance
Mental_Severity_Score,0.32997419928825583
stress_depression_diff,0.32732495551601426
stress_anxiety_diff,0.26299577402135227
Course,0.13596129893238443
Age,0.11951023131672585
Semester_Credit_Load,0.1059428380782917
Relationship_Status,0.07311410142348768
Residence_Type,0.05842771352313172
Physical_Activity,0.03100177935943055
Extracurricular_Involvement,0.028678158362989332
Diet_Quality,0.027594528469750856
Sleep_Quality,0.024637677935943042
Counseling_Service_Use,0.018489768683273997
Gender,0.014761120996441238
CGPA,0.00885587188612098
