feature,importance
stress_depression_diff,0.32511988434163713
stress_anxiety_diff,0.1762915925266903
Age,0.13740235765124575
Semester_Credit_Load,0.12620729537366565
Course,0.11523443060498222
Mental_Severity_Score,0.09424710854092544
Relationship_Status,0.07649666370106761
Residence_Type,0.0720645017793595
Physical_Activity,0.05060008896797158
Extracurricular_Involvement,0.05044572953736662
Diet_Quality,0.048980871886120964
Sleep_Quality,0.035737322064056935
Counseling_Service_Use,0.030116548042704597
Gender,0.021472642348754442
CGPA,0.013092749110320302
