feature,importance
stress_depression_diff,0.3094637455516014
stress_anxiety_diff,0.18293082740213526
Course,0.158084074733096
Age,0.15218216192170833
Semester_Credit_Load,0.11740547153024908
Mental_Severity_Score,0.10703113879003591
Relationship_Status,0.08011454626334524
Residence_Type,0.05316058718861215
Physical_Activity,0.038315169039145884
Extracurricular_Involvement,0.036691503558718794
Diet_Quality,0.034119439501779404
Sleep_Quality,0.024417704626334504
Counseling_Service_Use,0.02208896797153019
Gender,0.01761209964412809
CGPA,0.011566725978647668
