feature,importance
Mental_Severity_Score,0.409826290035586
stress_depression_diff,0.29921596975088954
stress_anxiety_diff,0.24222219750889679
Course,0.14231049822064074
Age,0.13211454626334534
Semester_Credit_Load,0.1065858540925267
Relationship_Status,0.07309675266903919
Residence_Type,0.039327846975088884
Physical_Activity,0.023451734875444816
Diet_Quality,0.02177958185053378
Extracurricular_Involvement,0.020528469750889674
Sleep_Quality,0.016261788256227754
Counseling_Service_Use,0.012938167259786453
Gender,0.011868104982206387
CGPA,0.005364101423487557
