feature,importance
stress_depression_diff,0.329709297153025
Mental_Severity_Score,0.32858919039145906
stress_anxiety_diff,0.2592520017793594
Course,0.16481650355871896
Age,0.11780137900355875
Semester_Credit_Load,0.11718838967971544
Relationship_Status,0.07242193060498221
Residence_Type,0.053387455516014176
Extracurricular_Involvement,0.030509341637010638
Physical_Activity,0.028541814946619132
Diet_Quality,0.02789257117437719
Sleep_Quality,0.022409475088967977
Counseling_Service_Use,0.0169550711743772
Gender,0.014721975088967956
CGPA,0.007505115658362988
