feature,importance
stress_depression_diff,0.41329248220640513
Mental_Severity_Score,0.3032715747330958
stress_anxiety_diff,0.22180226868327413
CGPA,0.10428024911032005
Course,0.09851979537366558
Semester_Credit_Load,0.06831583629893238
Age,0.0656089857651246
Counseling_Service_Use,0.03711788256227752
Physical_Activity,0.03435831850533804
Relationship_Status,0.031738434163700945
Residence_Type,0.030529581850533755
Diet_Quality,0.029157695729537327
Extracurricular_Involvement,0.027695951957295323
Sleep_Quality,0.02271307829181491
Gender,0.016290480427046266
