feature,importance
stress_depression_diff,0.4256872775800706
Mental_Severity_Score,0.29941058718861224
stress_anxiety_diff,0.21338990213523149
Course,0.11899043594306033
CGPA,0.10454915480427054
Semester_Credit_Load,0.06553425266903906
Age,0.06335854092526687
Counseling_Service_Use,0.0450217971530249
Residence_Type,0.038522464412811354
Relationship_Status,0.03698131672597866
Physical_Activity,0.03260787366548037
Diet_Quality,0.031186387900355873
Extracurricular_Involvement,0.03097775800711739
Sleep_Quality,0.024739768683273995
Gender,0.023351201067615644
