feature,importance
stress_depression_diff,0.4202829181494667
Mental_Severity_Score,0.3690516014234876
stress_anxiety_diff,0.17598887900355892
Course,0.09746886120996433
CGPA,0.08418661032028456
Semester_Credit_Load,0.06104537366548041
Age,0.049948620996441234
Counseling_Service_Use,0.047515346975088954
Physical_Activity,0.03808674377224201
Relationship_Status,0.03624310498220634
Residence_Type,0.0330175711743772
Extracurricular_Involvement,0.028941948398576473
Diet_Quality,0.027912144128113894
Sleep_Quality,0.02489212633451958
Gender,0.01573843416370102
