feature,importance
stress_depression_diff,0.42188723309608517
stress_anxiety_diff,0.25321263345195755
Mental_Severity_Score,0.1363391903914589
Course,0.12614079181494664
CGPA,0.11006761565836294
Semester_Credit_Load,0.07003981316725988
Age,0.05596063167259785
Relationship_Status,0.04482851423487538
Extracurricular_Involvement,0.03677735765124548
Residence_Type,0.03369461743772239
Counseling_Service_Use,0.03245729537366542
Physical_Activity,0.03208429715302488
Diet_Quality,0.03134274911032024
Sleep_Quality,0.02888033807829181
Gender,0.021013345195729546
