feature,importance
stress_depression_diff,0.4132435498220644
Mental_Severity_Score,0.315108096085409
stress_anxiety_diff,0.2091568060498222
CGPA,0.08766525800711739
Course,0.08000422597864763
Age,0.06441614768683276
Semester_Credit_Load,0.05746063167259794
Relationship_Status,0.03143505338078281
Residence_Type,0.029540925266903877
Diet_Quality,0.027246218861209898
Physical_Activity,0.02711899466192167
Extracurricular_Involvement,0.026861432384341584
Counseling_Service_Use,0.025732206405693916
Sleep_Quality,0.024468861209964384
Gender,0.016607873665480402
