feature,importance
stress_depression_diff,0.4117944839857645
stress_anxiety_diff,0.30914835409252667
Course,0.15290258007117455
CGPA,0.13579959964412824
Semester_Credit_Load,0.08875022241992882
Mental_Severity_Score,0.07219439501779358
Residence_Type,0.061976645907473295
Age,0.05997219750889693
Relationship_Status,0.04452402135231314
Physical_Activity,0.04290858540925264
Diet_Quality,0.04011165480427043
Sleep_Quality,0.039594973309608546
Extracurricular_Involvement,0.03577580071174373
Counseling_Service_Use,0.03374021352313161
Gender,0.024993994661921703
