feature,importance
Mental_Severity_Score,0.402258451957296
stress_depression_diff,0.38959052491103136
stress_anxiety_diff,0.17566792704626333
Course,0.12986232206405687
CGPA,0.10289657473309612
Semester_Credit_Load,0.06238790035587194
Age,0.04858518683274022
Counseling_Service_Use,0.03827958185053378
Residence_Type,0.03594417259786474
Relationship_Status,0.03544239323843421
Physical_Activity,0.032215524911031974
Sleep_Quality,0.03111654804270467
Extracurricular_Involvement,0.029972642348754415
Diet_Quality,0.02801467971530245
Gender,0.021684608540925212
