feature,importance
stress_depression_diff,0.4017584519572949
Mental_Severity_Score,0.26565080071174385
stress_anxiety_diff,0.19162677935943068
CGPA,0.11401067615658363
Course,0.10167459964412812
Semester_Credit_Load,0.06994973309608542
Relationship_Status,0.04113100533807828
Physical_Activity,0.04047931494661923
Age,0.039469306049822024
Residence_Type,0.03703758896797143
Extracurricular_Involvement,0.032783140569395
Diet_Quality,0.03264412811387898
Sleep_Quality,0.030719528469750842
Counseling_Service_Use,0.02828225088967971
Gender,0.023560275800711714
