feature,importance
stress_depression_diff,0.40861788256227755
stress_anxiety_diff,0.19714457295373675
CGPA,0.16247931494661919
Course,0.119110987544484
Age,0.111032028469751
Semester_Credit_Load,0.09147397686832738
Relationship_Status,0.07319261565836309
Residence_Type,0.05915969750889679
Mental_Severity_Score,0.05004025800711745
Physical_Activity,0.04989835409252675
Extracurricular_Involvement,0.04787188612099644
Diet_Quality,0.04253113879003558
Sleep_Quality,0.04165702846975085
Counseling_Service_Use,0.03932028469750892
Gender,0.021207072953736632
