feature,importance
stress_depression_diff,0.39855360320284694
stress_anxiety_diff,0.23654804270462612
CGPA,0.14645551601423493
Course,0.12809986654804287
Mental_Severity_Score,0.11278113879003551
Semester_Credit_Load,0.08700756227758
Relationship_Status,0.07158207295373663
Sleep_Quality,0.049729314946619294
Residence_Type,0.04823910142348745
Physical_Activity,0.047608985765124595
Age,0.045222642348754366
Extracurricular_Involvement,0.040004670818505374
Counseling_Service_Use,0.0362862544483985
Diet_Quality,0.03544150355871887
Gender,0.022222197508896775
