feature,importance
stress_depression_diff,0.4408056049822062
stress_anxiety_diff,0.1847304270462635
Course,0.11042170818505341
Mental_Severity_Score,0.08954003558718869
Relationship_Status,0.05920240213523136
CGPA,0.05686187722419922
Residence_Type,0.05569217081850533
Semester_Credit_Load,0.048576290035587215
Physical_Activity,0.042018460854092464
Age,0.041959519572953644
Extracurricular_Involvement,0.04145217971530248
Sleep_Quality,0.039082740213523086
Diet_Quality,0.03341770462633446
Counseling_Service_Use,0.03072731316725974
Gender,0.02187233096085408
