feature,importance
stress_depression_diff,0.46220751779359387
Mental_Severity_Score,0.3060669483985768
stress_anxiety_diff,0.21369306049822037
Course,0.09508941281138797
Age,0.05747108540925274
CGPA,0.039326290035587186
Semester_Credit_Load,0.033427046263345195
Residence_Type,0.028420596085409238
Diet_Quality,0.02835587188612099
Relationship_Status,0.026885676156583573
Counseling_Service_Use,0.023782918149466162
Physical_Activity,0.023501334519572942
Extracurricular_Involvement,0.022309830960854083
Sleep_Quality,0.022253781138790004
Gender,0.01898754448398575
