feature,importance
stress_depression_diff,0.47881561387900373
Mental_Severity_Score,0.3349254893238433
stress_anxiety_diff,0.28593994661921657
Course,0.08767682384341625
Age,0.03520774021352313
CGPA,0.034794928825622684
Diet_Quality,0.032078959074733134
Semester_Credit_Load,0.03135120106761563
Counseling_Service_Use,0.022327624555160068
Physical_Activity,0.021035809608540876
Extracurricular_Involvement,0.02009119217081848
Residence_Type,0.018648354092526683
Relationship_Status,0.017972419928825582
Sleep_Quality,0.01679737544483982
Gender,0.014925934163701016
