feature,importance
stress_depression_diff,0.51277646797153
Mental_Severity_Score,0.290392571174377
stress_anxiety_diff,0.1851957295373663
Course,0.0921405693950178
Semester_Credit_Load,0.04661321174377217
Age,0.04584430604982199
Relationship_Status,0.042070062277580034
CGPA,0.04180738434163711
Residence_Type,0.032560053380782945
Counseling_Service_Use,0.027954403914590725
Physical_Activity,0.025918149466192156
Diet_Quality,0.025604314946619165
Extracurricular_Involvement,0.023124999999999996
Sleep_Quality,0.020444839857651206
Gender,0.016905249110320236
