feature,importance
stress_depression_diff,0.43439590747331014
stress_anxiety_diff,0.17743016014234889
Course,0.11073153914590747
Age,0.07324377224199285
Mental_Severity_Score,0.06626846085409255
CGPA,0.06608785587188613
Relationship_Status,0.06497597864768685
Semester_Credit_Load,0.06174177046263348
Physical_Activity,0.0510767348754448
Counseling_Service_Use,0.04910075622775793
Extracurricular_Involvement,0.04824221530249112
Diet_Quality,0.045447953736654764
Residence_Type,0.043233318505338056
Sleep_Quality,0.04144016903914589
Gender,0.030176379003558677
