feature,importance
stress_depression_diff,0.4842931494661928
Mental_Severity_Score,0.3161568060498218
stress_anxiety_diff,0.20676890569395012
Course,0.06576623665480429
Age,0.041656583629893246
CGPA,0.040842304270462565
Semester_Credit_Load,0.03528714412811386
Residence_Type,0.026944839857651205
Relationship_Status,0.025804492882562233
Extracurricular_Involvement,0.023010676156583632
Physical_Activity,0.022863434163701075
Diet_Quality,0.022038033807829132
Sleep_Quality,0.018278692170818508
Counseling_Service_Use,0.017859208185053363
Gender,0.016320951957295327
