feature,importance
stress_depression_diff,0.4640731761565834
stress_anxiety_diff,0.24788056049822038
Mental_Severity_Score,0.15556672597864737
Course,0.10547931494661923
Age,0.062187944839857616
CGPA,0.05199666370106752
Relationship_Status,0.04488367437722417
Semester_Credit_Load,0.04256961743772232
Counseling_Service_Use,0.0388178380782918
Residence_Type,0.036671263345195645
Physical_Activity,0.0363374110320284
Extracurricular_Involvement,0.03610920818505338
Diet_Quality,0.031180382562277516
Sleep_Quality,0.02616103202846976
Gender,0.022631895017793557
