feature,importance
stress_depression_diff,0.4638872330960848
Mental_Severity_Score,0.2532902580071176
stress_anxiety_diff,0.17448153914590775
Course,0.08485676156583638
CGPA,0.046672820284697485
Semester_Credit_Load,0.04240947508896792
Relationship_Status,0.03835920818505335
Age,0.03589034697508894
Physical_Activity,0.03248643238434157
Residence_Type,0.030850311387900283
Extracurricular_Involvement,0.030587633451957242
Sleep_Quality,0.02771463523131671
Diet_Quality,0.027392793594306016
Counseling_Service_Use,0.024296485765124536
Gender,0.017937499999999978
