feature,importance
stress_depression_diff,0.4493362989323841
stress_anxiety_diff,0.26985275800711706
Course,0.11783407473309598
Mental_Severity_Score,0.07211232206405697
CGPA,0.06169995551601424
Relationship_Status,0.0594188167259786
Residence_Type,0.05406205516014246
Semester_Credit_Load,0.04948309608540926
Age,0.04759564056939502
Extracurricular_Involvement,0.04287588967971536
Diet_Quality,0.037964412811387835
Counseling_Service_Use,0.03787811387900356
Physical_Activity,0.03560142348754446
Gender,0.034807606761565794
Sleep_Quality,0.030631005338078287
