feature,importance
stress_depression_diff,0.4878807829181496
stress_anxiety_diff,0.21007562277580083
Mental_Severity_Score,0.18192237544484008
Course,0.09802290925266893
Age,0.04854959964412808
CGPA,0.04804248220640567
Semester_Credit_Load,0.044639457295373636
Residence_Type,0.04385453736654801
Relationship_Status,0.041649911032028475
Physical_Activity,0.040381672597864744
Extracurricular_Involvement,0.03590858540925263
Diet_Quality,0.03105538256227752
Gender,0.026287144128113855
Sleep_Quality,0.025555827402135207
Counseling_Service_Use,0.02461054270462629
