feature,importance
stress_depression_diff,0.550883451957295
Mental_Severity_Score,0.2876436832740214
stress_anxiety_diff,0.2578514234875446
Course,0.028508451957295344
Age,0.02636766014234875
Counseling_Service_Use,0.024280471530249068
Sleep_Quality,0.017865213523131675
Gender,0.015846752669039156
Physical_Activity,0.014573176156583585
Diet_Quality,0.01301712633451958
Residence_Type,0.011163033807829166
CGPA,0.010744439501779333
Semester_Credit_Load,0.010495329181494649
Relationship_Status,0.010374999999999968
Extracurricular_Involvement,0.006042259786476883
