feature,importance
stress_depression_diff,0.5486379003558713
stress_anxiety_diff,0.19198220640569372
Mental_Severity_Score,0.11785475978647707
Course,0.06555093416370095
Age,0.035681272241992835
Relationship_Status,0.035016236654804224
Residence_Type,0.028350756227757953
Counseling_Service_Use,0.02639612989323846
Physical_Activity,0.02211877224199287
Gender,0.01849666370106763
Extracurricular_Involvement,0.01729581850533809
Sleep_Quality,0.016900133451957292
Diet_Quality,0.012935943060498181
Semester_Credit_Load,0.011387677935943042
CGPA,0.01057584519572952
