feature,importance
stress_depression_diff,0.5477393238434162
stress_anxiety_diff,0.19249866548042655
Mental_Severity_Score,0.11639056939501792
Course,0.06509230427046267
Age,0.03531672597864768
Relationship_Status,0.03521685943060494
Residence_Type,0.028271129893238416
Counseling_Service_Use,0.026985097864768694
Physical_Activity,0.021901467971530246
Gender,0.018952624555160145
Extracurricular_Involvement,0.017230427046263323
Sleep_Quality,0.016995106761565834
Diet_Quality,0.013179937722419897
Semester_Credit_Load,0.01102669039145906
CGPA,0.010442393238434147
