feature,importance
stress_depression_diff,0.5292902580071175
Mental_Severity_Score,0.2906163256227757
stress_anxiety_diff,0.2595987544483985
Course,0.051895907473309646
Age,0.03622175266903913
Counseling_Service_Use,0.022293149466192153
Relationship_Status,0.02069016903914589
CGPA,0.015624332740213485
Sleep_Quality,0.01106583629893238
Semester_Credit_Load,0.01060854092526691
Diet_Quality,0.010136565836298909
Physical_Activity,0.007191503558718853
Residence_Type,0.00502001779359431
Gender,0.004706183274021365
Extracurricular_Involvement,0.00280004448398577
