feature,importance
stress_depression_diff,0.5412473309608545
stress_anxiety_diff,0.2075818505338074
Mental_Severity_Score,0.1788064946619216
Course,0.07725066725978648
Counseling_Service_Use,0.041780471530249094
Age,0.03870751779359433
Residence_Type,0.03439657473309607
Diet_Quality,0.03047175266903903
Relationship_Status,0.025927713523131658
CGPA,0.024214857651245526
Physical_Activity,0.021490435943060507
Sleep_Quality,0.012390569395017786
Extracurricular_Involvement,0.00903069395017792
Gender,0.009024911032028448
Semester_Credit_Load,0.008860097864768665
